method,path,module,auth_required,auth_mechanism,permission,allowed_roles,company_context,tenant_scoped,resource_ownership,platform_admin_behavior,repository_scope,side_effects,status,evidence
GET,/:calendarId/dates,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/dates,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
PATCH,/dates/:dateId,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/calculate,absence-calendar.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/,absence-request-draft.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:draftId,absence-request-draft.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/:draftId/submit,absence-request-draft.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/:draftId/attachments,absence-request-draft.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id/operational-impact,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id/operational-conflicts,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/:id/operational-conflicts/:conflictId/resolve,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/:id/reconcile-operational-impact,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/resubmit,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/approve,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/reject,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/needs-info,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/cancel,absence-request.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/,absence-type.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
PATCH,/:id,absence-type.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,HIGH,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,attendance:review,via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,DEFECT,Authz OK (attendance:review) but client statuses trusted LOC-P1-002
POST,/manual/preview,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/manual,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/manual,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/export.csv,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:id/review,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id/reviews,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id/audit-logs,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:id,attendance.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,HIGH,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/login,auth.routes.ts,N,NONE,NONE,via company-permissions.ts role map,N,NO,token,N/A,N/A,HIGH,VERIFIED,Intentionally public auth surface
POST,/login/2fa,auth.routes.ts,N,NONE,NONE,via company-permissions.ts role map,N,NO,token,N/A,N/A,HIGH,VERIFIED,Intentionally public auth surface
POST,/forgot-password,auth.routes.ts,N,NONE,NONE,via company-permissions.ts role map,N,NO,token,N/A,N/A,HIGH,VERIFIED,Intentionally public auth surface
POST,/reset-password,auth.routes.ts,N,NONE,NONE,via company-permissions.ts role map,N,NO,token,N/A,N/A,HIGH,VERIFIED,Intentionally public auth surface
GET,/me,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/2fa/status,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/2fa/setup,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/2fa/confirm,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/2fa/disable,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/2fa/recovery-codes/regenerate,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/2fa/reconfigure/setup,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/2fa/reconfigure/confirm,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
DELETE,/2fa/reconfigure,auth.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,HIGH,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/session,bot-simulator.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
GET,/session/:id,bot-simulator.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/session/:id/restart,bot-simulator.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
GET,/session/:id/location-presets,bot-simulator.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/message,bot-simulator.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/location,bot-simulator.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
GET,/,company-user.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,MEDIUM,VERIFIED,Deep-traced: permission + company-scoped repository
POST,/,company-user.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,MEDIUM,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/:userId,company-user.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,MEDIUM,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:userId,company-user.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,MEDIUM,VERIFIED,Deep-traced: permission + company-scoped repository
PATCH,/:userId/deactivate,company-user.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,company-scoped ID,synthetic_OWNER_on_company_routes,COMPANY_ID,MEDIUM,VERIFIED,Deep-traced: permission + company-scoped repository
GET,/,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/me,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/roles/:role/capabilities,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/settings,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/settings,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PUT,/:companyId/settings/admin-alert-delivery-mode,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/settings/work-schedule,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PUT,/:companyId/settings/work-schedule,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/settings/absences,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/settings/absences,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/settings/whatsapp-quotas,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/settings/whatsapp-quotas,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/settings/location-types,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/:companyId/settings/location-types,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/settings/location-types/:locationTypeId,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
DELETE,/:companyId/settings/location-types/:locationTypeId,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/modules,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/modules,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/company-alert-recipients,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/:companyId/company-alert-recipients,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/company-alert-recipients/:recipientId,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
DELETE,/:companyId/company-alert-recipients/:recipientId,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
GET,/:companyId/company-report-email-recipients,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/:companyId/company-report-email-recipients,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
PATCH,/:companyId/company-report-email-recipients/:recipientId,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
DELETE,/:companyId/company-report-email-recipients/:recipientId,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/:companyId/daily-attendance-reports/trigger,company.routes.ts,Y,AUTHENTICATED,AUTHENTICATED,via company-permissions.ts role map,N,PARTIAL,UNKNOWN,N/A,UNKNOWN,MEDIUM,PARTIAL,Authenticated; tenant pattern not confirmed for this module
POST,/run,dev-reminder.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/run-job-once,dev-reminder.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/test,dev-reminder.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
GET,/,employee-category.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
POST,/,employee-category.routes.ts,Y,AUTHENTICATED+COMPANY_CONTEXT,per-route (see module),via company-permissions.ts role map,Y,YES,ASSUMED_COMPANY_CONTEXT,synthetic_OWNER_on_company_routes,ASSUMED_COMPANY_CONTEXT,MEDIUM,PARTIAL,Shared authenticate+resolveCompanyContext+requirePermission pattern; repo not call-traced this phase
