method,path_suffix,full_path_examples,module_file,authentication,authorization,public_classification,tenant_scoped,sensitivity,source_line
GET,/:id/operational-impact,/api/companies/:companyId/.../:id/operational-impact | /api/... (legacy)/:id/operational-impact,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,34
GET,/:id/operational-conflicts,/api/companies/:companyId/.../:id/operational-conflicts | /api/... (legacy)/:id/operational-conflicts,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,41
POST,/:id/operational-conflicts/:conflictId/resolve,/api/companies/:companyId/.../:id/operational-conflicts/:conflictId/resolve | /api/... (legacy)/:id/operational-conflicts/:conflictId/resolve,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,48
POST,/:id/reconcile-operational-impact,/api/companies/:companyId/.../:id/reconcile-operational-impact | /api/... (legacy)/:id/reconcile-operational-impact,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,56
GET,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,64
PATCH,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,71
PATCH,/:id/resubmit,/api/companies/:companyId/.../:id/resubmit | /api/... (legacy)/:id/resubmit,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,79
PATCH,/:id/approve,/api/companies/:companyId/.../:id/approve | /api/... (legacy)/:id/approve,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,86
PATCH,/:id/reject,/api/companies/:companyId/.../:id/reject | /api/... (legacy)/:id/reject,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,93
PATCH,/:id/needs-info,/api/companies/:companyId/.../:id/needs-info | /api/... (legacy)/:id/needs-info,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,101
PATCH,/:id/cancel,/api/companies/:companyId/.../:id/cancel | /api/... (legacy)/:id/cancel,absence-request.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,109
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,absence-type.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,15
PATCH,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,absence-type.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,22
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,20
POST,/manual/preview,/api/companies/:companyId/.../manual/preview | /api/... (legacy)/manual/preview,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,26
POST,/manual,/api/companies/:companyId/.../manual | /api/... (legacy)/manual,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,32
PATCH,/:id/manual,/api/companies/:companyId/.../:id/manual | /api/... (legacy)/:id/manual,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,38
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,45
GET,/export.csv,/api/companies/:companyId/.../export.csv | /api/... (legacy)/export.csv,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,51
PATCH,/:id/review,/api/companies/:companyId/.../:id/review | /api/... (legacy)/:id/review,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,57
GET,/:id/reviews,/api/companies/:companyId/.../:id/reviews | /api/... (legacy)/:id/reviews,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,64
GET,/:id/audit-logs,/api/companies/:companyId/.../:id/audit-logs | /api/... (legacy)/:id/audit-logs,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,71
GET,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,attendance.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,78
POST,/login,/api/auth/login,auth.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,HIGH,28
POST,/login/2fa,/api/auth/login/2fa,auth.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,HIGH,39
POST,/forgot-password,/api/auth/forgot-password,auth.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,HIGH,56
POST,/reset-password,/api/auth/reset-password,auth.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,HIGH,77
GET,/me,/api/auth/me,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,88
GET,/2fa/status,/api/auth/2fa/status,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,90
POST,/2fa/setup,/api/auth/2fa/setup,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,91
POST,/2fa/confirm,/api/auth/2fa/confirm,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,92
POST,/2fa/disable,/api/auth/2fa/disable,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,103
POST,/2fa/recovery-codes/regenerate,/api/auth/2fa/recovery-codes/regenerate,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,114
POST,/2fa/reconfigure/setup,/api/auth/2fa/reconfigure/setup,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,125
POST,/2fa/reconfigure/confirm,/api/auth/2fa/reconfigure/confirm,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,136
DELETE,/2fa/reconfigure,/api/auth/2fa/reconfigure,auth.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,HIGH,147
POST,/session,/api/companies/:companyId/.../session | /api/... (legacy)/session,bot-simulator.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,9
GET,/session/:id,/api/companies/:companyId/.../session/:id | /api/... (legacy)/session/:id,bot-simulator.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,10
POST,/session/:id/restart,/api/companies/:companyId/.../session/:id/restart | /api/... (legacy)/session/:id/restart,bot-simulator.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,11
GET,/session/:id/location-presets,/api/companies/:companyId/.../session/:id/location-presets | /api/... (legacy)/session/:id/location-presets,bot-simulator.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,12
POST,/message,/api/companies/:companyId/.../message | /api/... (legacy)/message,bot-simulator.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,16
POST,/location,/api/companies/:companyId/.../location | /api/... (legacy)/location,bot-simulator.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,17
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,company-user.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,15
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,company-user.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,22
GET,/:userId,/api/companies/:companyId/.../:userId | /api/... (legacy)/:userId,company-user.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,29
PATCH,/:userId,/api/companies/:companyId/.../:userId | /api/... (legacy)/:userId,company-user.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,36
PATCH,/:userId/deactivate,/api/companies/:companyId/.../:userId/deactivate | /api/... (legacy)/:userId/deactivate,company-user.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,44
GET,/,/api/companies/,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,45
GET,/:companyId/me,/api/companies/:companyId/me,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,47
GET,/:companyId/roles/:role/capabilities,/api/companies/:companyId/roles/:role/capabilities,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,54
GET,/:companyId/settings,/api/companies/:companyId/settings,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,62
PATCH,/:companyId/settings,/api/companies/:companyId/settings,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,70
PUT,/:companyId/settings/admin-alert-delivery-mode,/api/companies/:companyId/settings/admin-alert-delivery-mode,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,79
GET,/:companyId/settings/work-schedule,/api/companies/:companyId/settings/work-schedule,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,88
PUT,/:companyId/settings/work-schedule,/api/companies/:companyId/settings/work-schedule,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,96
GET,/:companyId/settings/absences,/api/companies/:companyId/settings/absences,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,105
PATCH,/:companyId/settings/absences,/api/companies/:companyId/settings/absences,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,113
GET,/:companyId/settings/whatsapp-quotas,/api/companies/:companyId/settings/whatsapp-quotas,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,122
PATCH,/:companyId/settings/whatsapp-quotas,/api/companies/:companyId/settings/whatsapp-quotas,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,130
GET,/:companyId/settings/location-types,/api/companies/:companyId/settings/location-types,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,139
POST,/:companyId/settings/location-types,/api/companies/:companyId/settings/location-types,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,148
PATCH,/:companyId/settings/location-types/:locationTypeId,/api/companies/:companyId/settings/location-types/:locationTypeId,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,157
DELETE,/:companyId/settings/location-types/:locationTypeId,/api/companies/:companyId/settings/location-types/:locationTypeId,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,166
GET,/:companyId/modules,/api/companies/:companyId/modules,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,174
PATCH,/:companyId/modules,/api/companies/:companyId/modules,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,182
GET,/:companyId/company-alert-recipients,/api/companies/:companyId/company-alert-recipients,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,191
POST,/:companyId/company-alert-recipients,/api/companies/:companyId/company-alert-recipients,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,199
PATCH,/:companyId/company-alert-recipients/:recipientId,/api/companies/:companyId/company-alert-recipients/:recipientId,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,208
DELETE,/:companyId/company-alert-recipients/:recipientId,/api/companies/:companyId/company-alert-recipients/:recipientId,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,217
GET,/:companyId/company-report-email-recipients,/api/companies/:companyId/company-report-email-recipients,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,225
POST,/:companyId/company-report-email-recipients,/api/companies/:companyId/company-report-email-recipients,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,233
PATCH,/:companyId/company-report-email-recipients/:recipientId,/api/companies/:companyId/company-report-email-recipients/:recipientId,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,242
DELETE,/:companyId/company-report-email-recipients/:recipientId,/api/companies/:companyId/company-report-email-recipients/:recipientId,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,251
POST,/:companyId/daily-attendance-reports/trigger,/api/companies/:companyId/daily-attendance-reports/trigger,company.routes.ts,AUTHENTICATED,UNKNOWN,N/A,PARTIAL,MEDIUM,259
POST,/run,/api/companies/:companyId/.../run | /api/... (legacy)/run,dev-reminder.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,31
POST,/run-job-once,/api/companies/:companyId/.../run-job-once | /api/... (legacy)/run-job-once,dev-reminder.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,41
POST,/test,/api/companies/:companyId/.../test | /api/... (legacy)/test,dev-reminder.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,50
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,employee-category.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,15
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,employee-category.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,22
PATCH,/:categoryId,/api/companies/:companyId/.../:categoryId | /api/... (legacy)/:categoryId,employee-category.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,29
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,28
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,34
GET,/:employeeId/absence-balances,/api/companies/:companyId/.../:employeeId/absence-balances | /api/... (legacy)/:employeeId/absence-balances,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,40
PUT,/:employeeId/absence-balances/:absenceTypeId,/api/companies/:companyId/.../:employeeId/absence-balances/:absenceTypeId | /api/... (legacy)/:employeeId/absence-balances/:absenceTypeId,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,47
GET,/:employeeId/absence-balances/:absenceTypeId/movements,/api/companies/:companyId/.../:employeeId/absence-balances/:absenceTypeId/movements | /api/... (legacy)/:employeeId/absence-balances/:absenceTypeId/movements,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,54
POST,/:employeeId/absence-balances/:absenceTypeId/adjustments,/api/companies/:companyId/.../:employeeId/absence-balances/:absenceTypeId/adjustments | /api/... (legacy)/:employeeId/absence-balances/:absenceTypeId/adjustments,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,61
POST,/:employeeId/absence-balances/:absenceTypeId/movements/:movementId/reversal,/api/companies/:companyId/.../:employeeId/absence-balances/:absenceTypeId/movements/:movementId/reversal | /api/... (legacy)/:employeeId/absence-balances/:absenceTypeId/movements/:movementId/reversal,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,68
GET,/:id/deactivation-impact,/api/companies/:companyId/.../:id/deactivation-impact | /api/... (legacy)/:id/deactivation-impact,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,75
GET,/:id/operational-availability,/api/companies/:companyId/.../:id/operational-availability | /api/... (legacy)/:id/operational-availability,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,81
GET,/:id/operations,/api/companies/:companyId/.../:id/operations | /api/... (legacy)/:id/operations,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,87
POST,/:id/deactivate,/api/companies/:companyId/.../:id/deactivate | /api/... (legacy)/:id/deactivate,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,95
GET,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,102
PUT,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,108
DELETE,/:id,/api/companies/:companyId/.../:id | /api/... (legacy)/:id,employee.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,115
GET,/health,/api/health,health.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,MEDIUM,6
GET,/health/database,/api/health/database,health.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,MEDIUM,7
GET,/health/ready,/api/health/ready,health.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,MEDIUM,8
GET,/ready,/api/ready,health.routes.ts,NONE,UNKNOWN,INTENTIONALLY_PUBLIC,NO,MEDIUM,9
GET,/:entityType/template,/api/companies/:companyId/.../:entityType/template | /api/... (legacy)/:entityType/template,import.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,46
POST,/:entityType/preview,/api/companies/:companyId/.../:entityType/preview | /api/... (legacy)/:entityType/preview,import.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,53
POST,/:entityType/execute,/api/companies/:companyId/.../:entityType/execute | /api/... (legacy)/:entityType/execute,import.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,HIGH,61
GET,/,/api/companies/:companyId/.../ | /api/... (legacy)/,location-zone.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,17
GET,/search,/api/companies/:companyId/.../search | /api/... (legacy)/search,location-zone.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,24
GET,/geocoding-summary,/api/companies/:companyId/.../geocoding-summary | /api/... (legacy)/geocoding-summary,location-zone.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,31
POST,/,/api/companies/:companyId/.../ | /api/... (legacy)/,location-zone.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,37
PATCH,/:zoneId,/api/companies/:companyId/.../:zoneId | /api/... (legacy)/:zoneId,location-zone.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,44
POST,/:zoneId/geocode,/api/companies/:companyId/.../:zoneId/geocode | /api/... (legacy)/:zoneId/geocode,location-zone.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,52
GET,/employees,/api/companies/:companyId/.../employees | /api/... (legacy)/employees,lookup.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,31
GET,/workers,/api/companies/:companyId/.../workers | /api/... (legacy)/workers,lookup.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,43
GET,/services,/api/companies/:companyId/.../services | /api/... (legacy)/services,lookup.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,55
GET,/operations,/api/companies/:companyId/.../operations | /api/... (legacy)/operations,lookup.routes.ts,AUTHENTICATED+COMPANY_CONTEXT,REQUIRE_PERMISSION_PER_ROUTE,N/A,YES,MEDIUM,66
